         27262 function calls (26164 primitive calls) in 1.080 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.001    0.001 x:\_WORK\Python\Qt\BigLinks\HMC\vault_manager.py:449(cleanup_temp_vaults)
        1    0.000    0.000    0.001    0.001 x:\_WORK\Python\Qt\BigLinks\HMC\process_manager.py:89(__init__)
        1    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap>:1240(_find_spec)
        5    0.000    0.000    0.001    0.000 x:\_WORK\Python\Qt\BigLinks\HMC\environment_manager.py:29(ensure_nix_portable)
        4    0.000    0.000    0.001    0.000 C:\Users\thewi\miniconda3\Lib\email\feedparser.py:176(_call_parse)
        4    0.000    0.000    0.001    0.000 C:\Users\thewi\miniconda3\Lib\enum.py:528(__new__)
        8    0.000    0.000    0.001    0.000 {method 'readlines' of '_io._IOBase' objects}
        1    0.000    0.000    0.000    0.000 x:\_WORK\Python\Qt\BigLinks\GUX\widget_vault.py:28(setup_ui)
       11    0.000    0.000    0.000    0.000 C:\Users\thewi\miniconda3\Lib\traceback.py:944(format)
        1    0.000    0.000    0.000    0.000 x:\_WORK\Python\Qt\BigLinks\HMC\vault_manager.py:340(save_vaults_config)
        2    0.000    0.000    0.000    0.000 C:\Users\thewi\miniconda3\Lib\site-packages\requests\utils.py:826(get_environ_proxies)
        2    0.000    0.000    0.000    0.000 C:\Users\thewi\miniconda3\Lib\site-packages\urllib3\connection.py:365(request)
        1    0.000    0.000    0.000    0.000 x:\_WORK\Python\Qt\BigLinks\GUX\radial_menu.py:9(__init__)
        4    0.000    0.000    0.000    0.000 C:\Users\thewi\miniconda3\Lib\email\feedparser.py:216(_parsegen)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1520(find_spec)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1491(_get_spec)
        1    0.000    0.000    0.000    0.000 x:\_WORK\Python\Qt\BigLinks\HMC\widget_manager.py:370(ProjectManagerWidget)
        1    0.000    0.000    0.000    0.000 x:\_WORK\Python\Qt\BigLinks\HMC\project_manager.py:517(__init__)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1593(find_spec)
        4    0.000    0.000    0.000    0.000 C:\Users\thewi\miniconda3\Lib\site-packages\urllib3\util\url.py:369(parse_url)
        2    0.000    0.000    0.000    0.000 C:\Users\thewi\miniconda3\Lib\site-packages\requests\adapters.py:446(get_connection_with_tls_context)
        1    0.000    0.000    0.000    0.000 x:\_WORK\Python\Qt\BigLinks\HMC\widget_manager.py:40(__init__)
        1    0.000    0.000    0.000    0.000 x:\_WORK\Python\Qt\BigLinks\HMC\project_manager.py:523(setup_ui)
        2    0.000    0.000    0.000    0.000 C:\Users\thewi\miniconda3\Lib\site-packages\requests\adapters.py:359(build_response)
        2    0.000    0.000    0.000    0.000 C:\Users\thewi\miniconda3\Lib\site-packages\requests\models.py:409(prepare_url)
        2    0.000    0.000    0.000    0.000 C:\Users\thewi\miniconda3\Lib\site-packages\transformers\tokenization_utils_base.py:1569(__init__)
        2    0.000    0.000    0.000    0.000 C:\Users\thewi\miniconda3\Lib\logging\__init__.py:1510(setLevel)
        1    0.000    0.000    0.000    0.000 x:\_WORK\Python\Qt\BigLinks\HMC\vault_manager.py:210(ensure_default_vault)
        2    0.000    0.000    0.000    0.000 C:\Users\thewi\miniconda3\Lib\logging\__init__.py:1465(_clear_cache)
        1    0.000    0.000    0.000    0.000 {built-in method addItem}
        2    0.000    0.000    0.000    0.000 x:\_WORK\Python\Qt\BigLinks\HMC\secrets_manager.py:19(_load_or_create_key)
        4    0.000    0.000    0.000    0.000 C:\Users\thewi\miniconda3\Lib\site-packages\huggingface_hub\utils\_headers.py:38(build_hf_headers)
       16    0.000    0.000    0.000    0.000 C:\Users\thewi\miniconda3\Lib\enum.py:1551(__or__)
